"album_name","album_release","track_number","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit"
"Red",2012-10-22,1,"State Of Grace",0.588,0.825,0.258107128964594,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,FALSE
"Red",2012-10-22,2,"Red",0.602,0.896,0.374369103989045,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,FALSE
"Red",2012-10-22,3,"Treacherous",0.705,0.621,0.155381746988317,1,0.0334,0.101,4.3e-06,0.147,0.395,109.993,FALSE
"Red",2012-10-22,4,"I Knew You Were Trouble",0.622,0.469,0.209025850885791,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,FALSE
"Red",2012-10-22,5,"All Too Well",0.602,0.609,0.165844090127756,1,0.0243,0.0382,2e-04,0.127,0.337,93.06,FALSE
"Red",2012-10-22,6,"22",0.658,0.729,0.220749637966914,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,FALSE
"Red",2012-10-22,7,"I Almost Do",0.567,0.481,0.183780741736415,1,0.027,0.0173,4.13e-05,0.182,0.233,145.865,FALSE
"Red",2012-10-22,8,"We Are Never Ever Getting Back Together",0.628,0.676,0.25638936102243,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,FALSE
"Red",2012-10-22,9,"Stay Stay Stay",0.729,0.748,0.215278173472437,1,0.0245,0.307,1.29e-06,0.09,0.928,99.981,FALSE
"Red",2012-10-22,10,"The Last Time",0.505,0.443,0.19774249066066,1,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,FALSE
"Red",2012-10-22,11,"Holy Ground",0.627,0.816,0.213894688416951,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,FALSE
"Red",2012-10-22,12,"Sad Beautiful Tragic",0.624,0.34,0.0573984282224942,1,0.029,0.632,0.0337,0.121,0.261,129.987,FALSE
"Red",2012-10-22,13,"The Lucky One",0.706,0.499,0.170804772005971,1,0.0369,0.0371,0,0.132,0.545,117.937,FALSE
"Red",2012-10-22,14,"Everything Has Changed",0.624,0.458,0.211105719580854,1,0.0287,0.36,3.89e-06,0.303,0.436,80.017,FALSE
"Red",2012-10-22,15,"Starlight",0.649,0.777,0.262784654083849,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,FALSE
"Red",2012-10-22,16,"Begin Again",0.53,0.526,0.146251389195779,1,0.0263,0.199,3.52e-06,0.232,0.323,79.025,FALSE
"Red",2012-10-22,17,"The Moment I Knew",0.62,0.506,0.185054648979471,1,0.0312,0.187,1.47e-05,0.102,0.275,126.015,FALSE
"Red",2012-10-22,18,"Come Back...Be Here",0.483,0.548,0.234909186018037,1,0.0254,0.00471,2.01e-06,0.0997,0.217,79.926,FALSE
"Red",2012-10-22,19,"Girl At Home",0.733,0.59,0.259417936211881,1,0.0284,0.272,0,0.136,0.633,125.048,FALSE
"Red",2012-10-22,20,"Treacherous (Original Demo Recording)",0.828,0.64,0.149692485676004,1,0.0355,0.175,6.14e-05,0.0996,0.519,109.993,FALSE
"Red",2012-10-22,21,"Red (Original Demo Recording)",0.678,0.902,0.34205819525675,0,0.0358,0.113,0.000235,0.0722,0.637,124.998,FALSE
"Red",2012-10-22,22,"State Of Grace (Acoustic Version)",0.626,0.118,0.0256448403651772,1,0.0305,0.664,0.000169,0.127,0.0682,105.597,FALSE
"Red (Taylor's Version)",2021-11-12,1,"State Of Grace (Taylor's Version)",0.594,0.713,0.294171096975272,1,0.0503,0.000328,0,0.114,0.328,129.958,FALSE
"Red (Taylor's Version)",2021-11-12,2,"Red (Taylor's Version)",0.516,0.777,0.322998124059563,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,FALSE
"Red (Taylor's Version)",2021-11-12,3,"Treacherous (Taylor's Version)",0.645,0.593,0.223563036653701,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,FALSE
"Red (Taylor's Version)",2021-11-12,4,"I Knew You Were Trouble (Taylor's Version)",0.584,0.557,0.230621610169706,1,0.0342,0.0129,0,0.0576,0.767,154.008,FALSE
"Red (Taylor's Version)",2021-11-12,5,"All Too Well (Taylor's Version)",0.44,0.528,0.165615126249005,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,FALSE
