"album_name","album_release","track_name","energy","loudness","mode","speechiness","acousticness","instrumentalness","valence","tempo","explicit"
"Red (Taylor's Version)",2021-11-12,"Sad Beautiful Tragic (Taylor's Version)",0.406,-11.827,1,0.0275,0.622,9.19e-05,0.232,130.059,FALSE
"Red (Taylor's Version)",2021-11-12,"The Lucky One (Taylor's Version)",0.571,-7.138,1,0.05,0.066,0,0.538,117.889,FALSE
"Red (Taylor's Version)",2021-11-12,"Everything Has Changed (Taylor's Version)",0.61,-5.098,1,0.0363,0.271,0,0.474,79.918,FALSE
"Red (Taylor's Version)",2021-11-12,"Starlight (Taylor's Version)",0.685,-5.864,1,0.0358,0.00324,0,0.605,126.014,FALSE
"Red (Taylor's Version)",2021-11-12,"Begin Again (Taylor's Version)",0.527,-7.673,1,0.0274,0.075,0,0.267,78.915,FALSE
"Red (Taylor's Version)",2021-11-12,"The Moment I Knew (Taylor's Version)",0.402,-7.855,1,0.031,0.0494,0,0.208,125.952,FALSE
"Red (Taylor's Version)",2021-11-12,"Come Back...Be Here (Taylor's Version)",0.632,-6.031,1,0.0302,0.0158,0,0.399,79.846,FALSE
"Red (Taylor's Version)",2021-11-12,"Girl At Home (Taylor's Version)",0.736,-6.974,1,0.0326,0.00955,1.88e-05,0.612,125.089,FALSE
"Red (Taylor's Version)",2021-11-12,"State Of Grace (Acoustic Version) [Taylor's Version]",0.131,-13.778,1,0.0564,0.663,1.57e-06,0.101,208.918,FALSE
"Red (Taylor's Version)",2021-11-12,"Ronan (Taylor's Version)",0.279,-10.802,1,0.031,0.661,0,0.38,116.04,FALSE
"Red (Taylor's Version)",2021-11-12,"Better Man (Taylor's Version) [From The Vault]",0.579,-5.824,1,0.0384,0.214,0,0.255,73.942,FALSE
"Red (Taylor's Version)",2021-11-12,"Nothing New (Taylor's Version) [From The Vault]",0.377,-9.455,1,0.0275,0.817,0,0.446,101.96,FALSE
"Red (Taylor's Version)",2021-11-12,"Babe (Taylor's Version) [From The Vault]",0.743,-7.075,1,0.0931,0.0538,2.83e-06,0.746,167.844,FALSE
